Location,Feature Combination,Metric,Value
Shimla,Relative Humidity,Root Mean Squared Error (All),124.50757976276053
Shimla,Relative Humidity,R² Score (All),0.7999655071761971
Shimla,Relative Humidity,Mean Absolute Percentage Error (All),884882421171.774
Shimla,Relative Humidity,Mean Squared Percentage Error (All),1.051361220890396e+23
Shimla,Relative Humidity,Non-zero Values Percentage,49.90867579908676
Shimla,Relative Humidity,Mean Absolute Error (Non-zero),131.1845428751405
Shimla,Relative Humidity,Mean Squared Error (Non-zero),31039.941569547198
Shimla,Relative Humidity,Root Mean Squared Error (Non-zero),176.18155853989714
Shimla,Relative Humidity,R² Score (Non-zero),0.6523251840575115
Shimla,Relative Humidity,Mean Absolute Percentage Error (Non-zero),122.01541553062884
Shimla,Relative Humidity,Mean Squared Percentage Error (Non-zero),771.7825726588069
Srinagar,Relative Humidity,Mean Absolute Error (All),33.341382559107856
Srinagar,Relative Humidity,Mean Squared Error (All),5977.73223715213
Srinagar,Relative Humidity,Root Mean Squared Error (All),77.31579552169227
Srinagar,Relative Humidity,R² Score (All),0.9388959446555456
Srinagar,Relative Humidity,Mean Absolute Percentage Error (All),837377604608.074
Srinagar,Relative Humidity,Mean Squared Percentage Error (All),7.81638982326979e+22
Srinagar,Relative Humidity,Non-zero Values Percentage,49.41620879120879
Srinagar,Relative Humidity,Mean Absolute Error (Non-zero),65.77599890727895
Srinagar,Relative Humidity,Mean Squared Error (Non-zero),12080.885995428524
Srinagar,Relative Humidity,Root Mean Squared Error (Non-zero),109.91308382275753
Srinagar,Relative Humidity,R² Score (Non-zero),0.8612867061717815
Srinagar,Relative Humidity,Mean Absolute Percentage Error (Non-zero),49.355867897966455
Srinagar,Relative Humidity,Mean Squared Percentage Error (Non-zero),287.4712149955694
New Delhi,Pressure,Mean Absolute Error (All),66.21949139895953
New Delhi,Pressure,Mean Squared Error (All),16632.664515115666
New Delhi,Pressure,Root Mean Squared Error (All),128.96768787225608
New Delhi,Pressure,R² Score (All),0.7392538985530002
New Delhi,Pressure,Mean Absolute Percentage Error (All),1375530571248.556
New Delhi,Pressure,Mean Squared Percentage Error (All),2.7018827280414057e+23
New Delhi,Pressure,Non-zero Values Percentage,49.06648451730419
New Delhi,Pressure,Mean Absolute Error (Non-zero),132.15530206758504
New Delhi,Pressure,Mean Squared Error (Non-zero),33843.15353177375
New Delhi,Pressure,Root Mean Squared Error (Non-zero),183.96508780682748
New Delhi,Pressure,R² Score (Non-zero),0.5266039265529281
New Delhi,Pressure,Mean Absolute Percentage Error (Non-zero),157.36258890950685
New Delhi,Pressure,Mean Squared Percentage Error (Non-zero),1533.4613044834307
Shimla,Pressure,Mean Absolute Error (All),67.0096694722103
Shimla,Pressure,Mean Squared Error (All),15547.492858671758
Shimla,Pressure,Root Mean Squared Error (All),124.68958600729958
Shimla,Pressure,R² Score (All),0.7993802554621483
Shimla,Pressure,Mean Absolute Percentage Error (All),1167379218983.6768
Shimla,Pressure,Mean Squared Percentage Error (All),1.2536242098836752e+23
Shimla,Pressure,Non-zero Values Percentage,49.90867579908676
Shimla,Pressure,Mean Absolute Error (Non-zero),131.92554039771227
Shimla,Pressure,Mean Squared Error (Non-zero),31126.765773371175
Shimla,Pressure,Root Mean Squared Error (Non-zero),176.427791952887
Shimla,Pressure,R² Score (Non-zero),0.6513526761352199
Shimla,Pressure,Mean Absolute Percentage Error (Non-zero),121.84511143541785
Shimla,Pressure,Mean Squared Percentage Error (Non-zero),770.401085243893
Srinagar,Pressure,Mean Absolute Error (All),35.24010853182774
Srinagar,Pressure,Mean Squared Error (All),6096.522770938826
Srinagar,Pressure,Root Mean Squared Error (All),78.08023290781621
Srinagar,Pressure,R² Score (All),0.9376816742494898
Srinagar,Pressure,Mean Absolute Percentage Error (All),770282009695.5171
Srinagar,Pressure,Mean Squared Percentage Error (All),4.076177324354738e+22
Srinagar,Pressure,Non-zero Values Percentage,49.41620879120879
Srinagar,Pressure,Mean Absolute Error (Non-zero),69.75408952920172
Srinagar,Pressure,Mean Squared Error (Non-zero),12328.842585549231
Srinagar,Pressure,Root Mean Squared Error (Non-zero),111.03532134212622
Srinagar,Pressure,R² Score (Non-zero),0.8584396570931732
Srinagar,Pressure,Mean Absolute Percentage Error (Non-zero),50.212224614880455
Srinagar,Pressure,Mean Squared Percentage Error (Non-zero),291.1109571695947
New Delhi,Precipitable Water,Mean Absolute Error (All),68.60371159671217
New Delhi,Precipitable Water,Mean Squared Error (All),16120.191534539521
New Delhi,Precipitable Water,Root Mean Squared Error (All),126.9653162660556
New Delhi,Precipitable Water,R² Score (All),0.7472878086736976
New Delhi,Precipitable Water,Mean Absolute Percentage Error (All),4908758442774.07
New Delhi,Precipitable Water,Mean Squared Percentage Error (All),7.673011608663816e+23
New Delhi,Precipitable Water,Non-zero Values Percentage,49.06648451730419
New Delhi,Precipitable Water,Mean Absolute Error (Non-zero),129.8135657784004
New Delhi,Precipitable Water,Mean Squared Error (Non-zero),32697.39329459168
New Delhi,Precipitable Water,Root Mean Squared Error (Non-zero),180.82420549968325
New Delhi,Precipitable Water,R² Score (Non-zero),0.5426307544572646
New Delhi,Precipitable Water,Mean Absolute Percentage Error (Non-zero),165.52764596599056
New Delhi,Precipitable Water,Mean Squared Percentage Error (Non-zero),2131.71210996864
Shimla,Precipitable Water,Mean Absolute Error (All),68.2672048884984
Shimla,Precipitable Water,Mean Squared Error (All),14948.164075397392
Shimla,Precipitable Water,Root Mean Squared Error (All),122.26268472186185
Shimla,Precipitable Water,R² Score (All),0.8071137973577872
Shimla,Precipitable Water,Mean Absolute Percentage Error (All),4225927453504.287
Shimla,Precipitable Water,Mean Squared Percentage Error (All),4.217303437564357e+23
Shimla,Precipitable Water,Non-zero Values Percentage,49.90867579908676
Shimla,Precipitable Water,Mean Absolute Error (Non-zero),128.31692368048434
Shimla,Precipitable Water,Mean Squared Error (Non-zero),29866.53282693287
Shimla,Precipitable Water,Root Mean Squared Error (Non-zero),172.81936473362256
Shimla,Precipitable Water,R² Score (Non-zero),0.6654684004421065
Shimla,Precipitable Water,Mean Absolute Percentage Error (Non-zero),121.02657807152522
Shimla,Precipitable Water,Mean Squared Percentage Error (Non-zero),784.861910411836
Srinagar,Precipitable Water,Mean Absolute Error (All),37.16241740487216
Srinagar,Precipitable Water,Mean Squared Error (All),6124.808518168956
Srinagar,Precipitable Water,Root Mean Squared Error (All),78.26115587038666
Srinagar,Precipitable Water,R² Score (All),0.9373925388724538
Srinagar,Precipitable Water,Mean Absolute Percentage Error (All),3963763528172.808
Srinagar,Precipitable Water,Mean Squared Percentage Error (All),4.113150005955068e+23
Srinagar,Precipitable Water,Non-zero Values Percentage,49.41620879120879
Srinagar,Precipitable Water,Mean Absolute Error (Non-zero),67.18170958236878
Srinagar,Precipitable Water,Mean Squared Error (Non-zero),12311.09623122626
Srinagar,Precipitable Water,Root Mean Squared Error (Non-zero),110.95537946051223
Srinagar,Precipitable Water,R² Score (Non-zero),0.8586434215573453
Srinagar,Precipitable Water,Mean Absolute Percentage Error (Non-zero),55.71350175323994
Srinagar,Precipitable Water,Mean Squared Percentage Error (Non-zero),351.99309349381434
New Delhi,Wind Direction,Mean Absolute Error (All),69.14389333663634
New Delhi,Wind Direction,Mean Squared Error (All),17211.433301868383
New Delhi,Wind Direction,Root Mean Squared Error (All),131.1923522994705
New Delhi,Wind Direction,R² Score (All),0.7301806857404749
New Delhi,Wind Direction,Mean Absolute Percentage Error (All),3949741853774.9375
New Delhi,Wind Direction,Mean Squared Percentage Error (All),6.874822295145649e+23
New Delhi,Wind Direction,Non-zero Values Percentage,49.06648451730419
New Delhi,Wind Direction,Mean Absolute Error (Non-zero),132.8690084979595
