Location,Config,Metric,Mean,Median,Min,Max
Jaisalmer,ghi_only,correlation,0.9701192938084263,0.9937904126997819,0.4777685705447068,0.9997404932324852
Jaisalmer,ghi_only,mae,42.09216024001193,33.98245278994243,9.473101933797201,163.79978156089783
Jaisalmer,ghi_only,rmse,57.36409090994078,43.08623975998484,11.6060446554984,228.8117373601109
Jaisalmer,ghi_only,r2,0.9335390728549539,0.977038455857326,0.0,0.9984612600140269
Jodhpur,ghi_only,correlation,0.9323176654392976,0.9717675822326379,0.2611366386178425,0.9997716949910067
Jodhpur,ghi_only,mae,54.30859859244244,46.43168195088705,6.17965825398763,200.3768744468689
Jodhpur,ghi_only,rmse,77.45188557440667,65.24705973724386,8.034439735463105,259.03602927258186
Jodhpur,ghi_only,r2,0.8600292728031018,0.9354234172162437,0.0,0.9990369121298311
New Delhi,ghi_only,correlation,0.8833421751131265,0.9221763746950232,0.33093399702842996,0.9998273867581169
New Delhi,ghi_only,mae,75.04790498276901,74.74967635671298,9.512998580932617,180.15087628364563
New Delhi,ghi_only,rmse,105.01842579996406,107.22759748957475,11.199940911272522,246.42945562122333
New Delhi,ghi_only,r2,0.7544501543051099,0.8400505616990943,0.0,0.9979091121821574
Shimla,ghi_only,correlation,0.8909550436514371,0.9306646623114702,0.0,0.99969483559375
Shimla,ghi_only,mae,67.12438277461628,67.21108237902324,4.134052276611328,156.50859860579172
Shimla,ghi_only,rmse,94.14867490168861,92.29529002639417,4.134052276611328,240.17352789868534
Shimla,ghi_only,r2,0.7836510860017856,0.8512815204068653,0.0,1.0
Srinagar,ghi_only,correlation,0.9710749902739043,0.9940609736294928,0.6841585761116336,0.9997969042707625
Srinagar,ghi_only,mae,42.15775153777974,34.41363672415416,9.490481774012247,157.85208082199097
Srinagar,ghi_only,rmse,57.367570629881314,43.12521847990523,11.483321415740654,193.67497757719045
Srinagar,ghi_only,r2,0.935569362078594,0.9762075342343889,0.3972594992274975,0.998353476045941
