Location,Config,Metric,Mean,Median,Min,Max
Jaisalmer,ghi_met,correlation,0.9692525542387531,0.9939049404254325,0.4546557491871595,0.9998540126348958
Jaisalmer,ghi_met,mae,37.90157950773162,28.314705292383827,8.12151050567627,163.20491925875345
Jaisalmer,ghi_met,rmse,53.99016645710676,37.07711371247011,9.783504308441797,216.44386672277528
Jaisalmer,ghi_met,r2,0.9345596272578791,0.9823770453612606,0.0,0.998594200410224
Jodhpur,ghi_met,correlation,0.9312914123392304,0.971234341463394,0.28299960235024596,0.9995624400149676
Jodhpur,ghi_met,mae,55.39630244842064,48.81345987319946,9.221231460571289,198.7976713180542
Jodhpur,ghi_met,rmse,77.53664678516243,64.46745193668039,11.545157723282689,270.896144193158
Jodhpur,ghi_met,r2,0.8592232420740227,0.9357626071408233,0.0,0.9977738876738848
New Delhi,ghi_met,correlation,0.8799080115309361,0.9211947879441056,0.08502405111426557,0.9996193720533679
New Delhi,ghi_met,mae,71.66287990197927,71.50447316964468,7.776791095733643,179.52189699808756
New Delhi,ghi_met,rmse,103.58186649293052,104.68287287734213,10.515995997906696,254.72566884348143
New Delhi,ghi_met,r2,0.752975243586238,0.8345526901617468,0.0,0.9982645594774053
Shimla,ghi_met,correlation,0.8852099390020283,0.9267767233999412,0.0,0.9997021372778103
Shimla,ghi_met,mae,67.30954146762937,66.65898132324219,7.452205975850423,151.90060393015543
Shimla,ghi_met,rmse,97.11694986122272,96.07094169092089,9.288861792878123,229.480205740231
Shimla,ghi_met,r2,0.7661414034156032,0.8446437596113497,0.0,1.0
Srinagar,ghi_met,correlation,0.9700872032432423,0.9938628101075445,0.6295944357104113,0.999866786684005
Srinagar,ghi_met,mae,37.97282585994692,28.697765429814655,6.259639263153076,170.3765198389689
Srinagar,ghi_met,rmse,53.93011936069127,37.866494130677125,7.403896728739392,209.67039911641118
Srinagar,ghi_met,r2,0.9366161646135348,0.9824195576624626,0.2935887782164409,0.9993756205715132
