Location,MAE,RMSE,R²,Correlation
Jaisalmer,64.0024576944205,102.3179964466047,0.8645930754875005,0.9298701392198153
Jodhpur,88.60570450224564,129.76381190021308,0.7320282990615878,0.8593475348019525
New Delhi,105.6160410396355,150.4171146144472,0.6898843647016315,0.8399283133450662
Shimla,80.30953956590787,115.6451252142227,0.8299962957352267,0.9112411420321264
Srinagar,61.08780885430116,102.87775464239984,0.8631074626477414,0.9300593276432322
