date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2017-01-23,0.8721188034880589,69370.821875,84697.87406414724,0.704198613412738,23.49158141892663,5059.684375,10,499610.0,319963.0,164153.8799270706,531304.06,325022.7,181776.94
2017-01-24,0.4862827039484225,97786.889453125,118484.75581630296,0.21071954246711277,309.1858358920171,3937.842578125,10,405003.0,122563.9,140580.65037902223,211097.97,126501.75,46187.812
2017-01-25,0.7693829790618609,59026.17109375,84363.83296228493,0.3461675309217095,64.55691280832421,37823.83671875,10,359294.0,143505.0,109976.98428206594,371593.56,181328.83,121804.77
2017-01-26,0.9008086422929126,30589.5927734375,33330.79235549445,0.0,153.0173616884529,30589.5927734375,10,45709.0,25937.2,14576.844406264492,90668.17,56526.793,25565.764
2017-01-27,0.5707061608662782,80768.9224609375,109813.3824107718,0.2434504838817666,70.12185740309579,-18065.4697265625,10,351853.0,141485.3,133080.7791915622,338490.0,123419.83,109028.016
2017-01-28,0.9330215288534522,97651.975390625,111497.61344145266,0.7663688433591546,25.71192723425364,-73858.575390625,10,758982.0,463680.6,243152.61095461107,642054.8,389822.03,217013.64
2017-01-29,0.9306348836514854,73015.981640625,79473.59086526005,0.8326435600506468,97.90760595964919,-26849.023828125,10,570831.0,303486.5,204776.61846577548,516305.1,276637.47,166053.03
2017-01-30,0.8070310805394701,77018.7078125,127383.34754885254,0.3539036599757496,49.01416994599834,42692.39921875,10,512366.0,236730.1,167048.57009494773,588020.0,279422.5,214020.28
2017-01-31,0.9924881160832479,22812.550390625,30431.24013105937,0.9824689707175669,11.366470821991648,6753.115234375,10,762171.0,484196.5,242267.23835983273,770413.06,490949.6,250437.36
2017-02-01,0.9813165951712081,29740.71875,47600.146640319115,0.9626355568807342,11.943455519509435,2754.9875,10,792998.0,504393.5,259571.9615132446,789645.4,507148.5,258585.78
2017-02-02,0.9457421947706054,72557.28046875,84840.7670065717,0.8791294749925972,81.21989812975319,29951.27734375,10,705832.0,364290.1,257230.8940238754,697660.06,394241.38,239332.8
2017-02-03,0.977895867751337,35434.5248046875,45198.04586278707,0.9480942228883452,16.16340773068144,1591.1751953125,10,640989.0,360463.3,209117.58510733195,605295.5,362054.47,223341.08
2017-02-04,0.962189669385209,53958.9421875,72267.07530237621,0.8320798244736513,26.16665313802931,39108.7796875,10,524059.0,285947.0,185895.03237639842,609179.6,325055.78,218103.42
2017-02-05,0.09750174142018359,136226.63515625,190403.4810619784,0.0,94.18894501184255,38020.94453125,10,502799.0,269576.8,153578.2205072639,480849.56,307597.72,138721.44
2017-02-06,0.8143239183269394,98422.6890625,185763.7512633019,0.6314879139289999,228.84774066165537,51786.871875,10,769612.0,386187.9,322562.48023959977,759338.0,437974.75,280325.4
2017-02-07,0.9391185478133451,67761.417578125,96517.08573450639,0.8780089984618366,21.311173906318352,14009.673046875,10,815321.0,459428.6,291285.6212643834,795817.3,473438.3,284311.16
2017-02-08,0.6541729747663695,87187.430859375,125209.33501399272,0.265412255142329,195.9201395550067,27418.196484375,10,441145.0,168698.1,153990.38859866114,479484.5,196116.3,155679.9
2017-02-09,0.7652783284330679,116019.77421875,195517.79173949856,0.4943798713696862,101.92811560861111,2544.40078125,10,813195.0,477074.4,289836.34967692447,821795.7,479618.8,309327.16
