Location,Feature Combination,Metric,Value
Jaisalmer,Wind Speed,Mean Absolute Error (All),33.752620298838444
Jaisalmer,Wind Speed,Mean Squared Error (All),6324.940715035121
Jaisalmer,Wind Speed,Root Mean Squared Error (All),79.52949588068014
Jaisalmer,Wind Speed,R² Score (All),0.9285901261260071
Jaisalmer,Wind Speed,Mean Absolute Percentage Error (All),905676268964.9214
Jaisalmer,Wind Speed,Mean Squared Percentage Error (All),4.8373974944086904e+22
Jaisalmer,all,Mean Absolute Error (Non-zero),69.69695787537925
Jaisalmer,all,Mean Squared Error (Non-zero),12831.50125229955
Jaisalmer,all,Root Mean Squared Error (Non-zero),113.2762166224647
Jaisalmer,all,R² Score (Non-zero),0.8380358120732193
Jaisalmer,all,Mean Absolute Percentage Error (Non-zero),55.91999918743327
Jaisalmer,all,Mean Squared Percentage Error (Non-zero),361.51545015747325
Jaisalmer,all,Non-zero Values Percentage,48.46611721611722
Jaisalmer,all,Mean Absolute Error (All),35.36087020194803
Jaisalmer,all,Mean Squared Error (All),6276.990093345892
Jaisalmer,all,Root Mean Squared Error (All),79.2274579508007
Jaisalmer,all,R² Score (All),0.929131498448892
Jaisalmer,all,Mean Absolute Percentage Error (All),1581460902025.9858
Jaisalmer,all,Mean Squared Percentage Error (All),5.805965581884409e+23
Jaisalmer,meteorological_only,Mean Absolute Error (Non-zero),178.4036046478424
Jaisalmer,meteorological_only,Mean Squared Error (Non-zero),53899.70095021761
Jaisalmer,meteorological_only,Root Mean Squared Error (Non-zero),232.16309127468477
Jaisalmer,meteorological_only,R² Score (Non-zero),0.31965705943146416
Jaisalmer,meteorological_only,Mean Absolute Percentage Error (Non-zero),190.18025647587453
Jaisalmer,meteorological_only,Mean Squared Percentage Error (Non-zero),5977.0005439010065
Jaisalmer,meteorological_only,Non-zero Values Percentage,48.46611721611722
Jaisalmer,meteorological_only,Mean Absolute Error (All),129.65813675349887
Jaisalmer,meteorological_only,Mean Squared Error (All),39273.679472416145
Jaisalmer,meteorological_only,Root Mean Squared Error (All),198.1758801479538
Jaisalmer,meteorological_only,R² Score (All),0.5565921288359004
