date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.8539730671004496,496803.89453125,610333.8723405796,0,168232.39232315007,496803.89453125,13,917.9999999999999,429.2307692307692,356.5405899861786,956334.4,497233.12,369313.6
2019-07-22,0.8839354892151499,515149.7791466346,615625.5901509383,0,136722.6176995358,515149.7791466346,13,948.0,499.6923076923077,347.07669292136393,934618.3,515649.47,351139.4
2019-07-23,0.9691906305212007,507557.1981670673,588731.2992243636,0,159385.06067283283,507557.1981670673,13,907.0,493.9230769230769,338.34190339025935,888581.4,508051.12,310821.22
2019-07-24,0.994118970233262,549909.3670372596,635685.8720853578,0,92041.43041447234,549909.3670372596,13,940.0,556.8461538461538,316.9329177585919,940364.75,550466.25,332235.1
2019-07-25,0.9721651693986549,479871.0030048077,539496.3155278042,0,123329.65572985126,479871.0030048077,13,747.0,432.53846153846155,251.8774885351393,744005.4,480303.56,256847.88
2019-07-26,0.932732025590393,357036.0571664664,428888.3943314762,0,130462.77081772492,357036.0571664664,13,531.0,273.2307692307692,180.6853405998735,679934.2,357309.3,247507.12
2019-07-27,0.8777730676246187,311006.57977764425,364466.8140684982,0,108954.9578982979,311006.57977764425,13,889.0,367.0769230769231,308.82423845354214,611010.8,311373.66,198059.33
2019-07-28,0.9400864431640984,409399.2548076923,509981.5766051181,0,170828.8190594668,409399.2548076923,13,735.0,323.61538461538464,268.319007421371,867886.0,409722.88,316763.8
2019-07-29,0.4257019380627797,365247.4678485577,437854.00763503934,0,126084.43015169726,365247.4678485577,13,846.0,390.2307692307692,278.6354110799492,822354.3,365637.7,251454.17
2019-07-30,0.9684097651429735,536996.7295673077,609850.5111386903,0,98533.0092244108,536996.7295673077,13,848.0,517.5384615384615,275.8648870324672,912092.06,537514.25,301124.0
2019-07-31,0.955564173027028,526168.0539362981,614876.7923774146,0,128248.87000680137,526168.0539362981,13,860.0,440.3076923076923,291.2279704445141,933862.8,526608.4,331421.3
2019-08-01,0.9963086200816214,506456.76239483175,591450.5587143399,0,115894.89374203017,506456.76239483175,13,861.0,485.7692307692308,307.20057341693274,881670.9,506942.53,318255.1
2019-08-02,0.9865638318737724,506317.9969951923,585150.6320582328,0,97964.31675213693,506317.9969951923,13,839.0,501.6923076923077,285.43778791398796,879220.3,506819.7,305590.66
2019-08-03,0.981802656666647,530581.9517728365,622795.5805364132,0,187618.98333302757,530581.9517728365,13,880.0,462.84615384615387,317.77189044812377,943132.44,531044.9,339753.03
2019-08-04,0.9855414844713352,486171.80431189906,572667.7905847124,0,143529.30703515885,486171.80431189906,13,900.0,472.61538461538464,310.4600184837382,899798.56,486644.47,315294.06
