date,correlation,mae,rmse,r2,mape,bias,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2019-07-21,0.9458309078936042,421938.24741908483,539902.355249519,0,178727.76335356053,421938.24741908483,14,883.0,362.5,333.19404140946045,918395.06,422300.75,349872.8
2019-07-22,0.893238001781387,334475.82477678574,443980.8909429892,0,169715.45755529057,334475.82477678574,14,869.0,341.85714285714283,323.41253891843826,807722.94,334817.7,303277.72
2019-07-23,0.8758812202688386,376653.48507254466,462517.8429149356,0,120449.31889106495,376653.48507254466,14,832.0,398.14285714285717,266.94506987331744,787070.5,377051.7,278797.22
2019-07-24,0.9780451401078847,448517.9181082589,551676.9017748135,0,260559.21390927606,448517.9181082589,14,728.0,372.85714285714283,298.9265042532277,889546.0,448890.78,333632.94
2019-07-25,0.7485341661475461,119433.24658203125,140987.94121730057,0,225885.61279002202,119433.24658203125,14,161.0,74.85714285714286,54.34201822765644,229301.28,119508.11,77790.85
2019-07-26,0.9791265997486641,104711.68470982143,129819.30931091263,0,170759.32669209706,104711.68470982143,14,141.0,66.85714285714286,47.134598011124794,228160.25,104778.55,79679.555
2019-07-27,0.9293673458061581,52851.40638950893,59092.63043018727,0,167066.99150621062,52851.40638950893,14,98.0,46.285714285714285,34.82357418016305,93401.164,52897.69,27462.48
2019-07-28,0.6817104714937774,347939.17117745534,415004.97860477434,0,157613.32683211582,347939.17117745534,14,944.0,343.2857142857143,253.2813663684136,697593.3,348282.44,234913.78
2019-07-29,0.6705127837939189,389922.6856863839,447562.9398591974,0,116525.21194612357,389922.6856863839,14,745.0,379.42857142857144,227.77610946707307,755105.56,390302.1,228157.45
2019-07-30,0.83416249785441,350895.876953125,412486.8041807473,0,185926.7801784289,350895.876953125,14,652.0,280.2142857142857,203.5130608439319,663288.56,351176.16,225190.12
2019-07-31,0.8248204084957698,327010.9460797991,392725.01259027916,0,232964.42330082168,327010.9460797991,14,670.0,276.2142857142857,241.41001781884842,641609.9,327287.2,225886.89
2019-08-01,0.9060202863764419,455752.5068359375,549792.0797078023,0,129855.34975993089,455752.5068359375,14,903.0,405.92857142857144,269.5339180270879,871049.25,456158.44,319360.0
2019-08-02,0.7809961283211104,389982.98395647324,479944.94853358646,0,212861.3109273415,389982.98395647324,14,745.0,322.2142857142857,251.12000764924775,805431.6,390305.25,290507.06
2019-08-03,0.5279579658501601,216725.81459263392,265245.5739033489,0,261118.62572036908,216725.81459263392,14,404.0,151.78571428571428,128.81780728038913,476627.06,216877.6,158762.62
2019-08-04,0.7700259314931058,295601.61858258926,387818.34006905893,0,276797.89507089206,295601.61858258926,14,784.0,290.14285714285717,293.67089301902803,772484.6,295891.78,260746.03
2019-08-05,0.95748083221839,366410.8134765625,488610.7254024619,0,234159.05567720666,366410.8134765625,14,859.0,331.42857142857144,319.89029712981636,861071.9,366742.22,335747.4
2019-08-06,0.10016585503959488,98880.24790736607,108515.59074720924,0,365963.14633864857,98880.24790736607,14,364.0,99.71428571428571,101.751906859039,153261.7,98979.95,46400.25
2019-08-07,0.8664794535748872,359259.86174665176,446426.96721250896,0,155795.58754435615,359259.86174665176,14,760.0,349.35714285714283,293.3387663915765,803927.6,359609.22,275266.22
2019-08-08,0.9352342426957512,508407.5375600961,586704.170440474,0,114574.07060551939,508407.5375600961,13,883.0,497.0769230769231,321.474328041515,892813.56,508904.62,305077.38
2019-08-09,0.7653695286194666,436704.54657451925,504340.7303303741,0,134630.55444210788,436704.54657451925,13,790.0,386.15384615384613,238.5724369920123,812572.8,437090.7,262771.12
2019-08-10,0.38639392753821084,352858.18870192306,409624.98428650224,0,146336.56091254094,352858.18870192306,13,902.0,348.38461538461536,285.3902411498854,684204.3,353206.56,216652.72
2019-08-11,0.7236500588746182,413291.19260817306,488440.96699075593,0,297041.71192707936,413291.19260817306,13,936.0,399.38461538461536,339.06305668747876,733959.06,413690.56,271191.84
2019-08-12,0.8604330896278878,241568.0399639423,293953.8054389536,0,144621.79210739318,241568.0399639423,13,582.0,252.0,205.52169390764243,532586.44,241820.03,174508.47
2019-08-13,0.8086277990740813,380787.47235576925,488772.1204363952,0,258710.45041788166,380787.47235576925,13,756.0,282.6923076923077,285.95698528956666,765612.56,381070.16,319173.22
2019-08-14,0.9524204010948786,435970.4658954327,524039.08677320456,0,261750.39958377133,435970.4658954327,13,776.0,396.9230769230769,288.2442429429313,789666.8,436367.44,302916.66
2019-08-15,0.9375207494073406,362389.76292067306,439055.741099009,0,294814.7238465805,362389.76292067306,13,816.0,425.61538461538464,306.293850863714,752013.25,362815.38,258286.94
2019-08-16,0.6827573455781523,383628.953125,461945.9223138204,0,151590.29035343655,383628.953125,13,930.0,304.53846153846155,239.061573443822,757823.56,383933.47,268009.06
2019-08-17,0.4618310860434372,190595.85081129806,220275.57517374202,0,449602.6806340246,190595.85081129806,13,418.0,136.07692307692307,124.35062091954717,412406.72,190731.94,114995.46
2019-08-18,0.7860762642464562,222162.6298076923,282784.51506499416,0,171918.45936680998,222162.6298076923,13,454.0,212.69230769230768,162.12412149100692,564273.9,222375.34,182231.11
2019-08-19,0.7359313029792272,434867.4140625,518319.5956342602,0,128463.46494871065,434867.4140625,13,898.0,414.0769230769231,260.03892706620593,829609.1,435281.5,293745.97
2019-08-20,0.8754255738468004,453326.52028245194,509223.2347211765,0,166488.8761850674,453326.52028245194,13,928.0,439.38461538461536,254.5104904391757,718890.8,453765.88,241649.75
