date,correlation,mae,rmse,r2,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2020-01-01,0.9138141461920468,532881.0703074137,620818.9516279586,0,24,941813.9999999999,533499.0,325626.9417627158,868.078125,617.9297485351562,282.30810546875
2020-01-02,0.884952201682835,447538.18816105527,524634.0904625979,0,24,857705.9999999999,448127.75,279907.0051603707,867.6994018554688,589.561767578125,280.1599426269531
2020-01-03,0.9212994498952283,196200.55375496545,334474.9186547768,0,24,771641.9999999999,196577.99999999997,276970.98735835287,861.4652099609375,377.4463195800781,281.7891845703125
2020-01-04,0.8294282046541889,62635.018341859184,72637.69616160971,0,24,129095.99999999999,62877.24999999999,37685.68245628109,406.1399841308594,242.2316436767578,132.91139221191406
2020-01-05,0.9250536454581606,127406.64283299446,210120.98373986903,0,24,547680.0,127629.0,170874.84540344775,682.9441528320312,222.35719299316406,208.893310546875
2020-01-06,0.8647793536554469,422582.18301741284,517623.9819700357,0,24,929099.9999999999,423066.49999999994,305538.04484733223,734.4508666992188,484.3169250488281,207.18397521972656
2020-01-07,0.8150125833324007,334537.5284735362,438557.209532182,0,24,933989.9999999999,335128.0,289883.16331269377,863.866455078125,590.4714965820312,251.52391052246094
2020-01-08,0.6908370946470915,433473.3892855644,528262.1835136707,0,24,851837.9999999999,433946.75,308628.7525892627,860.0057373046875,473.3606872558594,296.6177062988281
2020-01-09,0.8429377919092315,471885.4404935837,564889.5212923844,0,24,944747.9999999999,472455.5,317436.21219703334,855.7077026367188,570.0595092773438,278.7274475097656
2020-01-10,0.9121693736165802,453041.5589459737,550794.926906519,0,24,922253.9999999999,453628.99999999994,320253.0327301672,856.1459350585938,587.4411010742188,286.24298095703125
2020-01-11,0.7363203353287059,470757.7249984741,538614.9886794074,0,24,851837.9999999999,471396.0,267529.96801691287,864.7271118164062,638.2749633789062,256.6428527832031
2020-01-12,0.8101546281487356,321777.65578428906,435941.13817341486,0,24,907583.9999999999,322291.75,300688.68634190696,853.2747192382812,514.09423828125,305.67572021484375
2020-01-13,0.7237038040470702,328470.4028886954,410209.49922276626,0,24,771641.9999999999,328934.0,251193.26690921022,812.0296630859375,463.5970764160156,258.32421875
2020-01-14,0.8235145577011382,445265.94177707034,562218.8370340803,0,24,930077.9999999999,445845.74999999994,350883.260264752,864.4472045898438,579.8081665039062,290.5566711425781
2020-01-15,0.6993851264925296,336237.6974212329,460497.8692222873,0,24,910517.9999999999,336676.49999999994,321600.8875746188,754.2380981445312,438.8025817871094,267.30828857421875
2020-01-16,0.6778562614690441,281095.89628601074,383110.6025453165,0,24,904649.9999999999,281623.25,266040.6175669667,856.4483032226562,527.353759765625,201.79940795898438
2020-01-17,0.523586953632252,352918.3743839264,469442.30373509054,0,24,954527.9999999999,353343.25,316307.6222786718,667.3019409179688,424.8755187988281,179.80148315429688
2020-01-18,0.6781818356523819,541545.8717662493,621011.2744047423,0,24,943769.9999999999,542137.9999999999,310662.5243191522,851.9892578125,592.128173828125,264.7239685058594
2020-01-19,0.9053591414426537,551345.7253201803,636433.1185704712,0,24,954527.9999999999,551999.4999999999,324968.29605162353,867.662109375,653.7745971679688,246.9608154296875
2020-01-20,0.8450831629826673,523214.80755933124,605218.8505050055,0,24,920297.9999999999,523882.0,310924.7853725343,868.1392822265625,667.1925048828125,218.52503967285156
2020-01-21,0.8523910834508628,460552.6652650833,543176.6227215675,0,24,897803.9999999999,461167.75,294387.95629920345,866.86083984375,615.0846557617188,252.0655975341797
2020-01-22,0.7193575296921185,313122.9738823573,404134.0523772051,0,24,771641.9999999999,313652.75,261199.24483665553,849.8486938476562,529.7761840820312,289.0035095214844
2020-01-23,0.6407072881762436,407105.9347963333,495979.9009429114,0,24,892913.9999999999,407703.75,289562.44836248,855.5897216796875,597.815185546875,258.8809509277344
2020-01-24,0.7801455584692716,432791.768412749,509074.5361752727,0,24,894869.9999999999,433376.25,274007.3497378666,846.94091796875,584.4816284179688,252.82278442382812
2020-01-25,0.7944076255735436,516987.6055955887,585718.4649310077,0,24,899759.9999999999,517606.5,281411.3030857765,851.2581176757812,618.8944702148438,239.82568359375
2020-01-26,0.8277571560293016,512698.8831357956,569893.3057670471,0,24,875309.9999999999,513368.49999999994,254372.69957442879,861.3914184570312,669.6168823242188,226.03900146484375
2020-01-27,0.7648210226171032,412717.7042503357,505566.1309334737,0,24,878243.9999999999,413327.24999999994,298440.29565366637,855.8531494140625,609.5457153320312,215.6334228515625
2020-01-28,0.7129345057524146,573226.181687673,640353.3512937675,0,24,919319.9999999999,573841.5,291741.82105848606,860.5323486328125,615.3182983398438,257.88763427734375
2020-01-29,0.8479592249314757,558622.6062908173,624762.2940948992,0,24,914429.9999999999,559293.75,285968.083080924,860.8436889648438,671.1437377929688,218.766845703125
2020-01-30,0.7733301058775836,481495.47484652203,555006.1650556898,0,24,883133.9999999999,482154.0,282144.17494299053,857.9745483398438,658.5252685546875,226.0756072998047
2020-01-31,0.8721407404652768,524082.01546065015,592260.6778488525,0,24,870419.9999999999,524737.75,282020.1865659928,862.7042846679688,655.7344970703125,234.84605407714844
2020-02-01,0.7886492032940877,497224.7160689036,574799.0516617444,0,24,853793.9999999999,497883.5,294765.86718348984,862.627197265625,658.7839965820312,235.99464416503906
2020-02-02,0.8294865426811427,526272.7715272903,595827.181914925,0,24,894869.9999999999,526938.2499999999,285582.25866057206,866.4583129882812,665.4784545898438,246.82452392578125
