date,correlation,mae,rmse,r2,num_points,actual_max,actual_mean,actual_std,predicted_max,predicted_mean,predicted_std
2020-01-01,0.7901773636060164,473643.90574725467,573870.2946784113,0,24,911027.9999999999,474213.4583333333,331212.9319370637,854.0040893554688,569.5525512695312,284.2788391113281
2020-01-02,0.9425599570887367,501582.7203056018,593364.4598848609,0,24,903339.9999999999,502122.5,324084.24494083255,830.639404296875,539.7797241210938,270.26617431640625
2020-01-03,0.924964446579128,372807.5323092143,432734.800918751,0,24,717866.9999999999,373308.4583333333,224701.08550384632,853.9931640625,500.926025390625,283.4840393066406
2020-01-04,0.744486610877504,295062.45359134674,388715.72887534526,0,24,854328.9999999999,295427.4166666667,258696.16441198156,790.4285888671875,364.9631042480469,263.3616943359375
2020-01-05,0.705669311339104,346840.69042332965,424845.42125822365,0,24,813005.9999999999,347241.3333333333,250826.14940019217,782.0305786132812,400.6429138183594,286.6966552734375
2020-01-06,0.9258446228531801,469105.65458567935,542436.7254736476,0,24,826459.9999999999,469608.6666666667,278452.1218168732,787.7824096679688,503.0121154785156,258.05841064453125
2020-01-07,0.9845941406421784,509032.7280617555,569410.5018317567,0,24,827420.9999999999,509570.25,260908.7875789828,826.7666625976562,537.5219116210938,249.93844604492188
2020-01-08,0.9776392618048957,472463.00988229114,552186.6954726417,0,24,864899.9999999999,472972.1666666667,292234.24016281223,801.0147094726562,509.1568298339844,280.6965026855469
2020-01-09,0.9756970415662323,490662.4897067547,580653.9347623648,0,24,900456.9999999999,491151.08333333326,317450.2876577571,812.16455078125,488.5936279296875,280.4674987792969
2020-01-10,0.9829929871331597,477216.1126836936,554450.4692399821,0,24,869704.9999999999,477697.0833333333,288618.8918838363,810.0214233398438,480.9707336425781,275.78094482421875
2020-01-11,0.9156981761736523,392813.28175806993,504550.4430953298,0,24,903339.9999999999,393289.25,323717.0848260601,801.4379272460938,475.9682312011719,277.3638000488281
2020-01-12,0.7852918099086876,378184.70876773197,453745.8980836798,0,24,919676.9999999999,378634.0,256342.36905408525,798.362060546875,449.291259765625,289.89105224609375
2020-01-13,0.9451921660424573,484967.2669330438,563553.6276486556,0,24,896612.9999999999,485505.20833333326,293474.57448377524,832.4877319335938,537.9414672851562,262.0299072265625
2020-01-14,0.8888704460843245,446325.4080400467,531739.8203825017,0,24,897573.9999999999,446865.0,295493.92883294646,830.0196533203125,539.5919189453125,273.4728088378906
2020-01-15,0.8808567052066325,342008.91132251424,437266.75084826455,0,24,822615.9999999999,342436.3333333333,278573.656774878,769.684326171875,427.4220275878906,292.9471740722656
2020-01-16,0.9829001456914839,489437.5039633115,576682.9798206796,0,24,901417.9999999999,489909.79166666657,311812.32176102046,798.1499633789062,472.2877197265625,275.2470703125
2020-01-17,0.9829858562430936,503479.22510671616,586011.6122217425,0,24,923520.9999999999,503964.4166666667,306577.5221904364,802.8599243164062,485.1915588378906,268.9121398925781
2020-01-18,0.9836608110282854,518083.8355128765,607188.0599205176,0,24,922559.9999999999,518579.62499999994,323730.7984416,805.669677734375,495.7894592285156,276.0546875
2020-01-19,0.9854566725497633,538917.3651614984,625402.6573124239,0,24,917754.9999999999,539441.3333333333,324426.1031364752,805.2676391601562,523.9681396484375,277.9179992675781
2020-01-20,0.9584304011100271,471974.64745577174,544081.0231649268,0,24,885080.9999999999,472531.70833333326,276744.13053458964,837.536865234375,557.0609130859375,259.94219970703125
2020-01-21,0.7493567269043699,333783.9606275558,455931.01546505955,0,24,885080.9999999999,334267.8333333333,317486.302565976,839.1824951171875,483.8726806640625,299.08551025390625
2020-01-22,0.7142793002978854,313436.8000090917,408206.6376338344,0,24,872587.9999999999,313966.7083333333,267343.7747077687,839.7318115234375,529.9083251953125,286.095947265625
2020-01-23,0.8481087245187486,376037.60607059795,483742.123849806,0,24,861055.9999999999,376511.79166666657,311091.25923320715,859.365478515625,474.1856384277344,283.33489990234375
2020-01-24,0.8065792397781723,383325.42464431125,481374.9535705146,0,24,886041.9999999999,383839.4166666667,297671.32794408116,853.2680053710938,513.9920043945312,288.6360778808594
2020-01-25,0.9375644662304919,469333.01768716174,559496.8609988524,0,24,873548.9999999999,469888.95833333326,311349.6180896379,842.7947387695312,555.9406127929688,243.5730743408203
2020-01-26,0.958195308826039,505760.05612214404,571965.4013956162,0,24,859133.9999999999,506286.83333333326,273098.96988863184,829.2844848632812,526.7772216796875,247.8144989013672
2020-01-27,0.900015567040393,458614.1751194,546803.2294242695,0,24,843757.9999999999,459157.7916666667,304412.2504475138,826.6996459960938,543.6166381835938,264.6209716796875
2020-01-28,0.9801782710194467,519758.8476940791,592561.946014728,0,24,878353.9999999999,520301.41666666657,290940.53463923966,820.4254150390625,542.5690307617188,254.53343200683594
2020-01-29,0.9644760233983921,478241.1334209442,555690.7963121404,0,24,862977.9999999999,478778.20833333326,289317.2801639688,830.9077758789062,537.0748901367188,260.2474670410156
2020-01-30,0.9637023584228995,456009.29398338,538619.8341366777,0,24,848562.9999999999,456515.04166666657,293077.5974331236,828.9832153320312,505.7477111816406,274.8063659667969
2020-01-31,0.9787348166265958,496135.9790755908,563867.9836525338,0,24,855289.9999999999,496636.79166666657,273982.2525244035,811.7703857421875,500.8125915527344,277.048828125
2020-02-01,0.9803017514160204,518752.5253594716,591293.5744919387,0,24,876431.9999999999,519300.375,290122.48118260136,817.9569702148438,547.8497314453125,256.9761962890625
2020-02-02,0.9799628877909389,497819.1425902049,568880.7175124021,0,24,869704.9999999999,498358.58333333326,281499.3241519289,817.8414306640625,539.4407348632812,262.55194091796875
