Location,Metric,Feature Combination,Individual,Joint,GNN,Complete
Jaisalmer,Root Mean Squared Error (All),Temperature,True,False,True,False
Jaisalmer,Root Mean Squared Error (All),Precipitable Water,True,False,True,False
Jaisalmer,Root Mean Squared Error (All),Pressure,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),ghi_only,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Wind Speed,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),meteorological_only,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),all,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Wind Direction,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Relative Humidity,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Temperature,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Precipitable Water,True,False,True,False
Jaisalmer,Mean Squared Error (Non-zero),Pressure,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),ghi_only,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Wind Speed,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),meteorological_only,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),all,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Wind Direction,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Relative Humidity,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Temperature,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Precipitable Water,True,False,True,False
Jaisalmer,Root Mean Squared Error (Non-zero),Pressure,True,False,True,False
Jaisalmer,Mean Absolute Error (All),ghi_only,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Wind Speed,True,False,True,False
Jaisalmer,Mean Absolute Error (All),meteorological_only,True,False,True,False
Jaisalmer,Mean Absolute Error (All),all,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Wind Direction,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Relative Humidity,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Temperature,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Precipitable Water,True,False,True,False
Jaisalmer,Mean Absolute Error (All),Pressure,True,False,True,False
Jodhpur,Non-zero Values Percentage,ghi_only,True,False,True,False
Jodhpur,Non-zero Values Percentage,Wind Speed,True,False,True,False
Jodhpur,Non-zero Values Percentage,meteorological_only,True,False,True,False
Jodhpur,Non-zero Values Percentage,all,True,False,True,False
Jodhpur,Non-zero Values Percentage,Wind Direction,True,False,True,False
Jodhpur,Non-zero Values Percentage,Relative Humidity,True,False,True,False
Jodhpur,Non-zero Values Percentage,Temperature,True,False,True,False
Jodhpur,Non-zero Values Percentage,Precipitable Water,True,False,True,False
Jodhpur,Non-zero Values Percentage,Pressure,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),ghi_only,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),Wind Speed,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),meteorological_only,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),all,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),Wind Direction,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),Relative Humidity,True,False,True,False
Jodhpur,Mean Squared Percentage Error (Non-zero),Temperature,True,False,True,False
