Metric,Feature Combination,Individual,Joint,GNN,Equal,Total,Comparisons Made,Individual %,Joint %,GNN %,Equal %
Mean Squared Percentage Error (Non-zero),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),Pressure,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Squared Percentage Error (Non-zero),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),Wind Direction,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),Wind Speed,1,0,2,0,5,3,33.3,0.0,66.7,0.0
Mean Squared Percentage Error (Non-zero),all,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Mean Squared Percentage Error (Non-zero),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Non-zero Values Percentage,Precipitable Water,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,Pressure,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,Relative Humidity,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,Temperature,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,Wind Direction,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,Wind Speed,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,all,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,ghi_only,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Non-zero Values Percentage,meteorological_only,1,2,0,0,5,3,33.3,66.7,0.0,0.0
Root Mean Squared Error (All),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),Pressure,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),Wind Direction,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),Wind Speed,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),all,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (All),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
Root Mean Squared Error (Non-zero),Precipitable Water,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Root Mean Squared Error (Non-zero),Pressure,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Root Mean Squared Error (Non-zero),Relative Humidity,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Root Mean Squared Error (Non-zero),Temperature,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Root Mean Squared Error (Non-zero),Wind Direction,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Root Mean Squared Error (Non-zero),Wind Speed,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Root Mean Squared Error (Non-zero),all,1,1,1,0,5,3,33.3,33.3,33.3,0.0
Root Mean Squared Error (Non-zero),ghi_only,0,1,2,0,5,3,0.0,33.3,66.7,0.0
Root Mean Squared Error (Non-zero),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Precipitable Water,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Pressure,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Relative Humidity,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Temperature,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Wind Direction,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),Wind Speed,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),all,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),ghi_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (All),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
R² Score (Non-zero),Precipitable Water,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),Pressure,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),Relative Humidity,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),Temperature,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),Wind Direction,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),Wind Speed,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),all,1,1,1,0,5,3,33.3,33.3,33.3,0.0
R² Score (Non-zero),ghi_only,0,1,2,0,5,3,0.0,33.3,66.7,0.0
R² Score (Non-zero),meteorological_only,0,0,3,0,5,3,0.0,0.0,100.0,0.0
