Location,Feature Combination,Metric,Individual Value,Joint Value,GNN Value,Better Approach
New Delhi,Wind Speed,R² Score (All),0.7311306352999102,0.7313121914640104,0.8168612883674189,gnn
New Delhi,meteorological_only,R² Score (All),0.6204117346475,0.628177701091535,0.8168612883674189,gnn
New Delhi,all,R² Score (All),0.7463411189153712,0.7509204010907131,0.8168612883674189,gnn
New Delhi,Wind Direction,R² Score (All),0.7340102408954489,0.7301806857404749,0.8168612883674189,gnn
New Delhi,Relative Humidity,R² Score (All),0.7346169249134218,0.7389950692400356,0.8168612883674189,gnn
New Delhi,Temperature,R² Score (All),0.7374553595077835,0.7336450443297369,0.8168612883674189,gnn
New Delhi,Precipitable Water,R² Score (All),0.7442816937021621,0.7472878086736976,0.8168612883674189,gnn
New Delhi,Pressure,R² Score (All),0.7298280774189893,0.7392538985530002,0.8168612883674189,gnn
New Delhi,ghi_only,R² Score (Non-zero),0.5167944100516431,0.5098042159111739,0.5520131589415349,gnn
New Delhi,Wind Speed,R² Score (Non-zero),0.5149408199420604,0.5119719009375128,0.5520131589415349,gnn
New Delhi,meteorological_only,R² Score (Non-zero),0.3239840609208738,0.3333143164989202,0.5520131589415349,gnn
New Delhi,all,R² Score (Non-zero),0.539935770084556,0.5476875435868735,0.5520131589415349,gnn
New Delhi,Wind Direction,R² Score (Non-zero),0.518651671435659,0.5112939323615722,0.5520131589415349,gnn
New Delhi,Relative Humidity,R² Score (Non-zero),0.5195389417969764,0.5262608386778067,0.5520131589415349,gnn
New Delhi,Temperature,R² Score (Non-zero),0.5242748956663101,0.516360548117153,0.5520131589415349,gnn
New Delhi,Precipitable Water,R² Score (Non-zero),0.5382863301732328,0.5426307544572646,0.5520131589415349,gnn
New Delhi,Pressure,R² Score (Non-zero),0.5131814201695308,0.5266039265529281,0.5520131589415349,gnn
New Delhi,ghi_only,Mean Absolute Error (Non-zero),135.5940661355054,132.1000360903773,130.44704607256216,gnn
New Delhi,Wind Speed,Mean Absolute Error (Non-zero),137.4503630978244,131.02460607287503,130.44704607256216,gnn
New Delhi,meteorological_only,Mean Absolute Error (Non-zero),170.68198023931686,170.30135254475468,130.44704607256216,gnn
New Delhi,all,Mean Absolute Error (Non-zero),132.8614288312294,130.4604659691211,130.44704607256216,gnn
New Delhi,Wind Direction,Mean Absolute Error (Non-zero),135.9520840878253,132.8690084979595,130.44704607256216,gnn
New Delhi,Relative Humidity,Mean Absolute Error (Non-zero),137.0779175251514,133.37385871480208,130.44704607256216,gnn
New Delhi,Temperature,Mean Absolute Error (Non-zero),133.51174814084197,132.58021347557536,130.44704607256216,gnn
New Delhi,Precipitable Water,Mean Absolute Error (Non-zero),132.7756104267022,129.8135657784004,130.44704607256216,joint
New Delhi,Pressure,Mean Absolute Error (Non-zero),135.08840927266297,132.15530206758504,130.44704607256216,gnn
New Delhi,ghi_only,Root Mean Squared Error (All),130.62577117673155,131.29220852102284,55.93620032785677,gnn
New Delhi,Wind Speed,Root Mean Squared Error (All),131.18390450549057,130.91698125431384,55.93620032785677,gnn
New Delhi,meteorological_only,Root Mean Squared Error (All),155.87134448791855,154.0067364535708,55.93620032785677,gnn
New Delhi,all,Root Mean Squared Error (All),127.41921601464222,126.04948651961338,55.93620032785677,gnn
New Delhi,Wind Direction,Root Mean Squared Error (All),130.47952003476635,131.1923522994705,55.93620032785677,gnn
New Delhi,Relative Humidity,Root Mean Squared Error (All),130.3306326691032,129.03168180766383,55.93620032785677,gnn
New Delhi,Temperature,Root Mean Squared Error (All),129.63177598394705,130.34740596803982,55.93620032785677,gnn
New Delhi,Precipitable Water,Root Mean Squared Error (All),127.93542084235044,126.9653162660556,55.93620032785677,gnn
New Delhi,Pressure,Root Mean Squared Error (All),131.50128572683525,128.96768787225608,55.93620032785677,gnn
New Delhi,ghi_only,Mean Squared Error (Non-zero),34642.51381130471,35044.167267266486,32183.43687335873,gnn
New Delhi,Wind Speed,Mean Squared Error (Non-zero),34775.40345974312,34889.19915225715,32183.43687335873,gnn
New Delhi,meteorological_only,Mean Squared Error (Non-zero),48465.68829783957,47661.45561763979,32183.43687335873,gnn
New Delhi,all,Mean Squared Error (Non-zero),32983.43763083618,32335.882710769118,32183.43687335873,gnn
New Delhi,Wind Direction,Mean Squared Error (Non-zero),34509.36095776704,34937.66722348174,32183.43687335873,gnn
New Delhi,Relative Humidity,Mean Squared Error (Non-zero),34445.74978193279,33867.68093342301,32183.43687335873,gnn
